Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
1,1 1 4 6,4.35,99.3%,4.62,1.44,6*4+1-1 
2,1 1 11 11,4.38,99.6%,4.66,1.41,11+11+1+1 
3,1 1 3 8,4.42,99.3%,4.69,1.47,8*3+1-1 
4,1 1 1 8,4.45,98.8%,4.66,1.25,(1+1+1)*8 
5,6 6 6 6,4.56,99.5%,4.8,1.47,"6+6+6+6, 6*6-6-6 "
6,1 1 2 12,4.61,99.2%,4.93,1.52,"12*2+1-1, 12/(1-1/2) "
7,1 2 2 6,4.77,99.3%,5.12,1.57,"(6+2)*(2+1), 6*2*2*1, (2+2)*6*1 "
8,1 1 10 12,4.79,99%,5.03,1.53,12+10+1+1 
9,1 1 1 12,4.8,99.3%,5.13,1.59,(1+1)*12*1 
10,2 2 10 10,4.81,98.2%,5.12,1.6,"10+10+2+2, 2*2+10+10 "
11,1 1 2 8,4.94,97.8%,5.29,1.73,(2+1)*8*1 
12,1 1 12 12,4.99,99.3%,5.37,1.63,12+12+1-1 
13,2 2 2 12,4.99,99.2%,5.34,1.69,"(2+2)*12/2, (2*2-2)*12, 12*2+2-2 "
14,1 1 3 12,5.01,97.6%,5.36,1.83,(3-1)*12*1 
15,1 1 5 8,5.03,96.6%,5.39,1.83,(5-1-1)*8 
16,1 1 2 6,5.04,98.7%,5.39,1.6,"(1+1)*6*2, (2+1+1)*6 "
17,1 1 4 8,5.04,98.2%,5.4,1.83,"(8+4)*(1+1), (8-1-1)*4, (4-1)*8*1 "
18,4 6 11 11,5.04,99%,5.43,1.75,"6*4+11-11, 11+11+6-4 "
19,1 1 4 12,5.07,97.5%,5.49,1.83,"12*4/(1+1), (4-1-1)*12 "
20,1 1 2 11,5.08,99%,5.42,1.69,"11*2+1+1, (1+1)*11+2, (11+1)*2*1 "
21,3 3 3 8,5.1,98.3%,5.49,1.84,8*3+3-3 
22,1 2 3 4,5.12,99.2%,5.48,1.81,"(3+2+1)*4, 4*3*2*1, (4+2)*(3+1) "
23,1 1 13 13,5.14,99.4%,5.47,1.65,13+13-1-1 
24,11 11 12 12,5.14,98.8%,5.54,1.86,12+12+11-11 
25,1 1 2 13,5.18,98.8%,5.52,1.79,"13*2-1-1, (1+1)*13-2, (13-1)*2*1 "
26,4 6 7 7,5.18,98.7%,5.52,1.8,"7+7+6+4, 6*4+7-7 "
27,1 1 3 6,5.19,98%,5.54,1.78,"(6+1+1)*3, (3+1)*6*1 "
28,1 1 3 9,5.19,97.1%,5.54,1.85,"(9+3)*(1+1), (9-1)*3*1 "
29,1 2 4 12,5.19,97.7%,5.61,1.98,"(12-4)*(2+1), (2+1)*4+12, 12*4*1/2, (4-2)*12*1, 12/(1-2/4) "
30,3 7 7 8,5.19,96.8%,5.55,1.91,8*3+7-7 
31,7 7 12 12,5.19,98.7%,5.59,1.84,"(7+7-12)*12, 12+12+7-7 "
32,1 1 5 6,5.2,97.1%,5.66,2.05,"(5-1)*6*1, (6-1)*5-1 "
33,1 1 11 13,5.22,99.1%,5.64,1.8,13+11+1-1 
34,1 6 6 12,5.24,98.9%,5.56,1.68,"(12+6+6)*1, (6*6-12)*1, (6/6+1)*12 "
35,4 6 13 13,5.24,98.8%,5.65,1.8,"6*4+13-13, 13+13+4-6 "
36,1 1 11 12,5.26,99.4%,5.64,1.74,(12+11+1)*1 
37,4 5 12 12,5.26,97.1%,5.63,1.8,"(12+12)*(5-4), (5-12/4)*12, (12/12+5)*4 "
38,4 4 4 6,5.27,98.2%,5.66,1.96,6*4+4-4 
39,1 1 1 11,5.28,97.6%,5.59,1.65,(11+1)*(1+1) 
40,1 8 8 8,5.29,97.9%,5.63,1.91,(8+8+8)*1 
41,12 12 12 12,5.29,99.4%,5.72,2.03,12+12+12-12 
42,2 7 7 12,5.3,98.9%,5.7,1.9,"12+7+7-2, 12*2+7-7 "
43,2 2 3 8,5.33,98.3%,5.71,1.91,"8*3+2-2, (8+3)*2+2 "
44,11 11 11 12,5.33,95%,5.64,2,"(11+11)*12/11, 11/11+12+11 "
45,2 11 11 12,5.34,97.3%,5.74,2,12*2+11-11 
46,2 9 9 12,5.36,97.6%,5.8,2.02,"12*2+9-9, 12/2+9+9, (9+9)*2-12 "
47,10 10 12 12,5.36,98.7%,5.81,1.92,12+12+10-10 
48,1 1 5 5,5.37,99.2%,5.75,1.83,"(5+1)*(5-1), (5*5-1)*1 "
49,1 5 7 12,5.37,98.4%,5.91,2.09,"(7-5)*12*1, 7*5+1-12, (12+7+5)*1, (12-7)*5-1 "
50,8 8 12 12,5.38,98.6%,5.81,1.93,"12+12+8-8, 12*8/(12-8) "
51,3 8 13 13,5.4,95.1%,5.81,2.12,8*3+13-13 
52,3 8 10 10,5.41,95.7%,5.85,2.19,8*3+10-10 
53,9 9 12 12,5.41,98.4%,5.9,2.11,12+12+9-9 
54,1 6 8 12,5.42,97.1%,5.84,2.05,"(12-8)*6*1, (8-6)*12*1, (12/6+1)*8 "
55,3 3 12 12,5.42,98.8%,5.9,2.04,"12*12/(3+3), 12+12+3-3, (12-12/3)*3 "
56,3 8 11 11,5.42,96.4%,5.77,2.05,"8*3+11-11, (11-3)*(11-8) "
57,11 12 12 12,5.42,98%,5.77,1.87,"12/12+12+11, (12+12)*(12-11) "
58,5 6 12 12,5.43,97.3%,5.79,1.79,"(12+12)*(6-5), (5-12/12)*6 "
59,12 12 13 13,5.43,98.8%,5.85,1.94,13+12+12-13 
60,3 8 9 9,5.44,97%,5.8,1.95,8*3+9-9 
61,5 5 12 12,5.44,98.9%,5.82,1.74,"(12-5-5)*12, 5*5-12/12, 12+12+5-5 "
62,2 5 5 12,5.46,98.8%,5.84,1.93,"12+5+5+2, 12*2+5-5 "
63,1 1 12 13,5.47,98.8%,5.86,1.84,(13+12-1)*1 
64,2 3 3 12,5.47,98.6%,5.95,2.06,"12*2+3-3, (3+3)*2+12 "
65,1 1 4 5,5.48,97.9%,5.84,2.01,"(4+1)*5-1, (5+1)*4*1 "
66,1 9 9 12,5.48,95.8%,5.78,1.8,"(9-1)*(12-9), (9/9+1)*12 "
67,3 4 4 8,5.49,98.4%,5.95,2,"4*3+8+4, 8*3+4-4, (8-3)*4+4, (4*4-8)*3 "
68,1 1 3 7,5.5,97.2%,5.83,1.93,"(7-1)*(3+1), (7+1)*3*1 "
69,1 4 10 10,5.5,97.9%,5.91,2.06,"(10+10+4)*1, 10*10/4-1 "
70,2 12 13 13,5.5,97.3%,5.85,2.03,12*2+13-13 
71,7 7 11 12,5.5,93.9%,5.85,2.14,"7/7+12+11, (12-7)*7-11 "
72,2 2 4 6,5.51,99.1%,5.9,1.88,"6*4+2-2, (4+2)*(6-2), (6+4+2)*2, (4-2)*6*2, (4/2+2)*6 "
73,4 4 12 12,5.51,98.7%,5.95,2.02,"12+12+4-4, (12-4)*12/4 "
74,1 3 5 12,5.52,96.7%,5.91,2.15,"(5+1)*12/3, (12+1-5)*3, (5-1)*3+12, (5-3)*12*1 "
75,5 5 11 12,5.53,96.5%,5.89,1.9,"5*5+11-12, 5/5+12+11, (12-5)*5-11 "
76,1 2 5 8,5.54,96%,5.97,2.23,"(5+1)*8/2, (8+5-1)*2, (8-2)*(5-1), (5-2)*8*1 "
77,1 1 1 13,5.57,97.5%,5.9,1.77,(13-1)*(1+1) 
78,11 11 11 13,5.57,98.4%,6.1,2.22,13+11+11-11 
79,3 5 5 8,5.58,97.1%,5.96,2.06,"(5+3)*(8-5), 8*3+5-5 "
80,1 4 7 12,5.59,98.4%,6.03,2.05,"12+7+4+1, (7-4-1)*12, (7+1)*12/4, (12+1-7)*4 "
81,1 6 7 12,5.59,98.7%,6.04,2.02,"12+7+6-1, (7+1-6)*12, (12-7-1)*6, (7-1)*6-12 "
82,2 3 12 12,5.59,97.4%,5.97,1.95,"12*12/3/2, (12+12)*(3-2), (12*3+12)/2, (12/3-2)*12 "
83,1 3 4 12,5.6,98.6%,6.01,1.95,"(12-4)*3*1, (4+1-3)*12, 12*4/(3-1), (4*3+12)*1 "
84,1 3 10 10,5.6,97.6%,5.92,2.02,10+10+3+1 
85,1 3 3 4,5.61,97.6%,5.87,1.78,"(4+3+1)*3, (3-1)*4*3, (3+3)*4*1 "
86,1 8 9 12,5.61,96.5%,5.95,2,"(12-9)*8*1, (9+1-8)*12, 8/(12/9-1) "
87,2 3 3 8,5.61,97.1%,5.99,1.96,"(3*2-3)*8, (3-2)*8*3, (3+3)*8/2, (3/3+2)*8 "
88,9 9 11 12,5.61,94.3%,5.98,2.14,"9/9+12+11, (12-9)*11-9 "
89,4 5 5 6,5.62,97.6%,6.05,2.1,6*4+5-5 
90,4 6 6 6,5.62,98.5%,6,2.02,"6*4+6-6, (6+6)*(6-4) "
91,1 1 4 7,5.63,97.3%,5.95,2.07,"(7-1)*4*1, (7+1)*(4-1) "
92,1 8 8 12,5.64,96.5%,5.97,1.93,"(12-8-1)*8, (8/8+1)*12, 8/(1-8/12) "
93,8 8 11 13,5.64,97.2%,6.16,2.29,"13+11+8-8, (13-11)*8+8 "
