Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.35,99.3%,4.62,1.44
2,1 1 11 11,4.38,99.6%,4.66,1.41
3,1 1 3 8,4.42,99.3%,4.69,1.47
4,1 1 1 8,4.45,98.8%,4.66,1.25
5,6 6 6 6,4.56,99.5%,4.8,1.47
6,1 1 2 12,4.61,99.2%,4.93,1.52
7,1 2 2 6,4.77,99.3%,5.12,1.57
8,1 1 10 12,4.79,99%,5.03,1.53
9,1 1 1 12,4.8,99.3%,5.13,1.59
10,2 2 10 10,4.81,98.2%,5.12,1.6
11,1 1 2 8,4.94,97.8%,5.29,1.73
12,1 1 12 12,4.99,99.3%,5.37,1.63
13,2 2 2 12,4.99,99.2%,5.34,1.69
14,1 1 3 12,5.01,97.6%,5.36,1.83
15,1 1 5 8,5.03,96.6%,5.39,1.83
16,1 1 2 6,5.04,98.7%,5.39,1.6
17,1 1 4 8,5.04,98.2%,5.4,1.83
18,4 6 11 11,5.04,99%,5.43,1.75
19,1 1 4 12,5.07,97.5%,5.49,1.83
20,1 1 2 11,5.08,99%,5.42,1.69
21,3 3 3 8,5.1,98.3%,5.49,1.84
22,1 2 3 4,5.12,99.2%,5.48,1.81
23,1 1 13 13,5.14,99.4%,5.47,1.65
24,11 11 12 12,5.14,98.8%,5.54,1.86
25,1 1 2 13,5.18,98.8%,5.52,1.79
26,4 6 7 7,5.18,98.7%,5.52,1.8
27,1 1 3 6,5.19,98%,5.54,1.78
28,1 1 3 9,5.19,97.1%,5.54,1.85
29,1 2 4 12,5.19,97.7%,5.61,1.98
30,3 7 7 8,5.19,96.8%,5.55,1.91
31,7 7 12 12,5.19,98.7%,5.59,1.84
32,1 1 5 6,5.2,97.1%,5.66,2.05
33,1 1 11 13,5.22,99.1%,5.64,1.8
34,1 6 6 12,5.24,98.9%,5.56,1.68
35,4 6 13 13,5.24,98.8%,5.65,1.8
36,1 1 11 12,5.26,99.4%,5.64,1.74
37,4 5 12 12,5.26,97.1%,5.63,1.8
38,4 4 4 6,5.27,98.2%,5.66,1.96
39,1 1 1 11,5.28,97.6%,5.59,1.65
40,1 8 8 8,5.29,97.9%,5.63,1.91
41,12 12 12 12,5.29,99.4%,5.72,2.03
42,2 7 7 12,5.3,98.9%,5.7,1.9
43,2 2 3 8,5.33,98.3%,5.71,1.91
44,11 11 11 12,5.33,95%,5.64,2
45,2 11 11 12,5.34,97.3%,5.74,2
46,2 9 9 12,5.36,97.6%,5.8,2.02
47,10 10 12 12,5.36,98.7%,5.81,1.92
48,1 1 5 5,5.37,99.2%,5.75,1.83
49,1 5 7 12,5.37,98.4%,5.91,2.09
50,8 8 12 12,5.38,98.6%,5.81,1.93
51,3 8 13 13,5.4,95.1%,5.81,2.12
52,3 8 10 10,5.41,95.7%,5.85,2.19
53,9 9 12 12,5.41,98.4%,5.9,2.11
54,1 6 8 12,5.42,97.1%,5.84,2.05
55,3 3 12 12,5.42,98.8%,5.9,2.04
56,3 8 11 11,5.42,96.4%,5.77,2.05
57,11 12 12 12,5.42,98%,5.77,1.87
58,5 6 12 12,5.43,97.3%,5.79,1.79
59,12 12 13 13,5.43,98.8%,5.85,1.94
60,3 8 9 9,5.44,97%,5.8,1.95
61,5 5 12 12,5.44,98.9%,5.82,1.74
62,2 5 5 12,5.46,98.8%,5.84,1.93
63,1 1 12 13,5.47,98.8%,5.86,1.84
64,2 3 3 12,5.47,98.6%,5.95,2.06
65,1 1 4 5,5.48,97.9%,5.84,2.01
66,1 9 9 12,5.48,95.8%,5.78,1.8
67,3 4 4 8,5.49,98.4%,5.95,2
68,1 1 3 7,5.5,97.2%,5.83,1.93
69,1 4 10 10,5.5,97.9%,5.91,2.06
70,2 12 13 13,5.5,97.3%,5.85,2.03
71,7 7 11 12,5.5,93.9%,5.85,2.14
72,2 2 4 6,5.51,99.1%,5.9,1.88
73,4 4 12 12,5.51,98.7%,5.95,2.02
74,1 3 5 12,5.52,96.7%,5.91,2.15
75,5 5 11 12,5.53,96.5%,5.89,1.9
76,1 2 5 8,5.54,96%,5.97,2.23
77,1 1 1 13,5.57,97.5%,5.9,1.77
78,11 11 11 13,5.57,98.4%,6.1,2.22
79,3 5 5 8,5.58,97.1%,5.96,2.06
80,1 4 7 12,5.59,98.4%,6.03,2.05
81,1 6 7 12,5.59,98.7%,6.04,2.02
82,2 3 12 12,5.59,97.4%,5.97,1.95
83,1 3 4 12,5.6,98.6%,6.01,1.95
84,1 3 10 10,5.6,97.6%,5.92,2.02
85,1 3 3 4,5.61,97.6%,5.87,1.78
86,1 8 9 12,5.61,96.5%,5.95,2
87,2 3 3 8,5.61,97.1%,5.99,1.96
88,9 9 11 12,5.61,94.3%,5.98,2.14
89,4 5 5 6,5.62,97.6%,6.05,2.1
90,4 6 6 6,5.62,98.5%,6,2.02
91,1 1 4 7,5.63,97.3%,5.95,2.07
92,1 8 8 12,5.64,96.5%,5.97,1.93
93,8 8 11 13,5.64,97.2%,6.16,2.29
94,3 7 8 8,5.65,96.4%,6.05,2.06
95,6 7 12 12,5.65,95.8%,6,2.04
96,2 7 7 8,5.66,97%,6.03,2.05
97,5 5 7 7,5.66,97.9%,6.02,1.94
98,2 2 2 3,5.68,99%,5.95,1.7
99,3 3 4 6,5.68,97.8%,6.11,2.08
100,3 3 11 12,5.69,94.8%,6.14,2.25
101,4 5 11 12,5.69,97.5%,6.11,2.11
102,1 1 2 10,5.7,95.8%,6,1.83
103,1 7 9 12,5.7,96.3%,6.11,2.22
104,1 6 9 12,5.71,95.6%,6.07,2.09
105,1 1 10 13,5.74,98%,6.15,2.18
106,1 2 5 12,5.74,95.4%,6.16,2.21
107,4 4 11 13,5.74,98%,6.32,2.37
108,1 2 2 12,5.75,97.9%,6.13,2
109,3 6 11 11,5.75,94.6%,6.07,2.12
110,6 6 12 12,5.75,98.4%,6.29,2.32
111,7 8 12 12,5.75,96.1%,6.17,2.16
112,3 7 7 7,5.77,97.7%,6.12,2.05
113,1 2 2 10,5.78,96.5%,6.16,2.2
114,1 6 6 11,5.78,98.3%,6.25,2.24
115,1 7 7 10,5.78,98%,6.19,2.11
