Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,0.815185546875,0.815185546875,1.0,579,590
1,True,False,False,False,395,0.18017578125,0.61749267578125,0.2917861025995849,3,578
2,True,True,True,True,1,1.0,1.0,1.0,589,590
3,True,True,True,True,1,0.785888671875,0.785888671875,1.0,515,580
4,True,False,False,False,143,0.553863525390625,1.0,0.553863525390625,94,585
5,True,False,False,False,550,0.181396484375,0.43035888671875,0.4215004963834917,5,581
6,True,True,True,True,1,0.57537841796875,0.57537841796875,1.0,539,584
7,True,False,False,False,501,0.06298828125,0.3934326171875,0.16009928637914986,24,560
8,True,True,True,True,1,0.5213623046875,0.5213623046875,1.0,449,585
9,True,False,False,False,425,0.3076171875,0.610595703125,0.5037984806077569,15,569
10,True,True,True,True,1,0.522552490234375,0.522552490234375,1.0,507,585
11,True,False,False,False,64,0.76708984375,0.9736328125,0.7878635907723169,161,571
12,True,True,True,True,1,0.8466796875,0.8466796875,1.0,425,568
13,True,True,True,True,1,1.0,1.0,1.0,533,581
14,True,False,False,False,21,0.454681396484375,0.49967288970947266,0.9099581062897824,112,556
15,True,True,True,True,1,0.6883544921875,0.6883544921875,1.0,539,572
16,True,False,False,False,389,0.38897705078125,0.54559326171875,0.7129432822463363,5,585
17,True,False,False,False,369,0.405029296875,1.0,0.405029296875,93,583
18,True,True,True,True,1,0.6402587890625,0.6402587890625,1.0,342,567
19,True,True,True,True,1,0.934326171875,0.934326171875,1.0,244,571
20,True,False,False,False,137,0.47735595703125,0.62359619140625,0.765488891063913,57,565
21,True,False,False,False,35,0.5056266784667969,0.5221099853515625,0.9684294356606366,87,577
22,True,False,False,False,100,0.4815521240234375,0.5804443359375,0.8296267087276551,57,587
23,True,False,False,False,42,0.164306640625,1.0,0.164306640625,60,576
24,True,False,False,False,11,0.546051025390625,0.551025390625,0.9909725299069562,359,574
