Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,-1,-1,1.0,5,5
1,True,True,True,True,1,0.81109619140625,0.81109619140625,1.0,330,366
2,True,True,True,True,1,0.6026229858398438,0.6026229858398438,1.0,252,278
3,True,False,False,False,283,0.32562255859375,0.7800140380859375,0.4174573055028463,11,352
4,True,True,True,True,1,0.77728271484375,0.77728271484375,1.0,282,288
5,True,False,False,False,134,0.7630462646484375,0.7630462646484375,1.0,47,318
6,True,False,False,False,115,0.4888601303100586,0.7867431640625,0.6213719453064391,40,328
7,True,True,True,True,1,0.7764892578125,0.7764892578125,1.0,250,301
8,True,False,True,True,5,0.732147216796875,0.7704315185546875,0.9503079756788338,131,182
9,True,False,False,False,106,0.502288818359375,0.8143310546875,0.6168115724778894,59,276
10,True,True,True,True,1,0.4972381591796875,0.4972381591796875,1.0,225,231
11,True,True,True,True,1,0.777862548828125,0.777862548828125,1.0,146,277
12,True,True,True,True,1,0.7381134033203125,0.7381134033203125,1.0,127,144
13,True,True,True,True,1,0.779449462890625,0.779449462890625,1.0,226,295
14,True,True,True,True,1,0.7857666015625,0.7857666015625,1.0,154,256
15,True,False,False,False,128,0.4931640625,0.7056665420532227,0.6988627533127462,87,252
16,True,True,True,True,1,0.791473388671875,0.791473388671875,1.0,319,347
17,True,False,False,False,138,0.4179534912109375,0.7449722290039062,0.5610323109222183,25,211
18,True,False,False,False,90,0.5839118957519531,0.785064697265625,0.7437755102040816,64,215
19,True,True,True,True,1,0.79302978515625,0.79302978515625,1.0,205,342
20,True,False,False,False,32,0.585906982421875,0.585906982421875,1.0,317,362
21,True,False,False,False,41,0.443359375,0.766632080078125,0.5783209267147008,20,117
22,True,False,False,False,83,0.5077667236328125,0.5077667236328125,1.0,158,335
23,True,False,False,False,146,0.447845458984375,0.7654876708984375,0.5850459465385612,44,275
24,True,True,True,True,1,0.788330078125,0.788330078125,1.0,194,195
