Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,-1,-1,1.0,3,5
1,True,True,True,True,1,-1,-1,1.0,5,5
2,True,False,False,False,219,0.260009765625,0.7734375,0.33617424242424243,30,292
3,True,True,True,True,1,0.753662109375,0.753662109375,1.0,245,245
4,True,False,False,False,107,0.463836669921875,1.0,0.463836669921875,3,302
5,True,True,True,True,1,0.57757568359375,0.57757568359375,1.0,282,300
6,True,True,True,True,1,1.0,1.0,1.0,314,352
7,True,False,True,True,4,0.977783203125,1.0,0.977783203125,235,343
8,True,True,True,True,1,1.0,1.0,1.0,257,278
9,False,False,False,False,,,1.0,0.0,0,155
10,True,True,True,True,1,1.0,1.0,1.0,195,310
11,True,False,False,False,62,0.42047119140625,1.0,0.42047119140625,44,217
12,True,True,True,True,1,1.0,1.0,1.0,164,269
13,True,False,False,False,128,1.0,1.0,1.0,20,367
14,True,False,False,False,61,0.3094482421875,1.0,0.3094482421875,21,162
15,True,False,True,True,4,1.0,1.0,1.0,116,242
16,True,True,True,True,1,1.0,1.0,1.0,175,216
17,True,True,True,True,1,0.4753570556640625,0.4753570556640625,1.0,230,267
18,True,False,False,False,216,0.3387451171875,1.0,0.3387451171875,7,349
19,True,True,True,True,1,1.0,1.0,1.0,316,340
20,True,False,False,False,74,0.5293121337890625,0.869873046875,0.6084935447656469,39,250
21,True,False,False,False,36,0.56988525390625,1.0,0.56988525390625,52,241
22,True,False,False,False,192,0.3385009765625,1.0,0.3385009765625,13,314
23,True,True,True,True,1,0.80908203125,0.80908203125,1.0,193,238
24,True,False,False,True,6,1.0,1.0,1.0,119,194
