Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,False,False,False,552,0.340911865234375,0.457916259765625,0.7444851716094635,16,587
1,True,False,False,False,23,0.4159126281738281,0.4302825927734375,0.966603425653392,9,587
2,True,False,False,False,278,0.404754638671875,0.555816650390625,0.7282161093724263,3,580
3,True,True,True,True,1,0.77093505859375,0.77093505859375,1.0,579,583
4,True,False,False,False,484,0.5017242431640625,0.666168212890625,0.7531494800494755,21,577
5,True,True,True,True,1,0.78411865234375,0.78411865234375,1.0,540,574
6,True,False,False,False,401,0.3575897216796875,0.6627044677734375,0.5395915359996316,17,578
7,True,True,True,True,1,0.370147705078125,0.370147705078125,1.0,153,590
8,True,True,True,True,1,0.795623779296875,0.795623779296875,1.0,560,584
9,True,True,True,True,1,0.568695068359375,0.568695068359375,1.0,425,583
10,True,False,False,False,12,0.4526214599609375,0.47174072265625,0.9594708241687152,252,569
11,True,True,True,True,1,0.720703125,0.720703125,1.0,510,559
12,True,True,True,True,1,0.7468414306640625,0.7468414306640625,1.0,508,585
13,True,False,False,False,74,0.551971435546875,0.6597900390625,0.836586493987049,35,582
14,True,True,True,True,1,0.5339474678039551,0.5339474678039551,1.0,585,594
15,True,True,True,True,1,0.488006591796875,0.488006591796875,1.0,566,591
16,True,True,True,True,1,0.5286998748779297,0.5286998748779297,1.0,120,594
17,True,True,True,True,1,0.5811004638671875,0.5811004638671875,1.0,572,578
18,True,True,True,True,1,0.737823486328125,0.737823486328125,1.0,438,578
19,True,True,True,True,1,0.5610504150390625,0.5610504150390625,1.0,532,590
20,True,True,True,True,1,0.483795166015625,0.483795166015625,1.0,503,568
21,True,True,True,True,1,0.5334625244140625,0.5334625244140625,1.0,562,585
22,True,True,True,True,1,0.6972718834877014,0.6972718834877014,1.0,575,585
23,True,True,True,True,1,0.5183258056640625,0.5183258056640625,1.0,410,579
24,True,False,True,True,4,0.54364013671875,0.563079833984375,0.9654761259552328,92,593
