Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,0.694580078125,0.694580078125,1.0,145,155
1,True,False,False,False,28,0.189697265625,0.2598876953125,0.7299201503053077,2,162
2,True,True,True,True,1,0.724365234375,0.724365234375,1.0,149,156
3,True,True,True,True,1,0.398681640625,0.398681640625,1.0,120,148
4,True,False,True,True,4,0.236328125,0.36572265625,0.6461949265687583,8,160
5,True,True,True,True,1,1.0,1.0,1.0,159,161
6,True,False,False,False,123,0.3358154296875,0.84912109375,0.39548591144335826,8,156
7,True,True,True,True,1,0.60211181640625,0.60211181640625,1.0,69,151
8,True,False,False,False,94,0.4044189453125,0.779296875,0.518953634085213,12,151
9,True,False,False,False,26,0.6368408203125,0.847900390625,0.7510797581341779,79,153
10,True,True,True,True,1,0.5699462890625,0.5699462890625,1.0,132,153
11,True,False,False,False,126,0.203857421875,0.70703125,0.28832872928176795,15,154
12,True,False,False,False,117,0.2314453125,0.29443359375,0.7860696517412935,7,156
13,True,True,True,True,1,0.372314453125,0.372314453125,1.0,146,154
14,False,False,False,False,,,1.0,0.0,0,153
15,True,False,False,False,127,0.202880859375,0.717529296875,0.28274923443348077,1,153
16,True,True,True,True,1,1.0,1.0,1.0,131,152
17,True,False,False,False,92,0.01220703125,1.0,0.01220703125,16,141
18,True,False,False,False,111,0.220458984375,1.0,0.220458984375,16,150
19,True,True,True,True,1,1.0,1.0,1.0,142,155
20,True,True,True,True,1,0.61065673828125,0.61065673828125,1.0,140,142
21,True,False,False,False,38,0.177734375,0.792236328125,0.22434514637904468,68,159
22,True,True,True,True,1,0.4877166748046875,0.4877166748046875,1.0,156,158
23,True,False,False,False,103,0.3218994140625,0.5714111328125,0.5633411664174321,14,147
24,True,False,False,False,110,0.309326171875,0.398193359375,0.776824034334764,10,157
25,True,False,False,False,56,0.4334716796875,0.60540771484375,0.7159995967335416,75,146
26,True,False,False,False,128,0.095458984375,0.3629150390625,0.26303397241843257,16,159
27,True,False,False,False,111,0.41851806640625,1.0,0.41851806640625,10,160
28,True,False,False,False,72,0.23779296875,0.3056640625,0.7779552715654952,38,157
29,True,False,False,False,103,0.40380859375,1.0,0.40380859375,28,157
30,True,True,True,True,1,0.6409912109375,0.6409912109375,1.0,118,153
31,True,False,False,False,93,0.361572265625,0.5631103515625,0.6420984175157165,12,150
32,True,True,True,True,1,1.0,1.0,1.0,78,151
33,True,True,True,True,1,1.0,1.0,1.0,135,151
34,True,True,True,True,1,0.500795841217041,0.500795841217041,1.0,135,150
35,True,False,False,False,114,0.23583984375,0.4208984375,0.5603248259860789,3,151
36,True,True,True,True,1,0.4654541015625,0.4654541015625,1.0,101,145
37,True,True,True,True,1,0.87646484375,0.87646484375,1.0,96,145
38,True,True,True,True,1,0.4036865234375,0.4036865234375,1.0,143,155
39,True,False,False,False,35,0.5030536651611328,0.722412109375,0.6963527585332883,40,157
40,True,False,False,False,133,-1,0.371826171875,-2.6894287590282335,3,150
41,True,True,True,True,1,0.4351806640625,0.4351806640625,1.0,154,159
42,True,True,True,True,1,1.0,1.0,1.0,26,138
43,True,True,True,True,1,0.93798828125,0.93798828125,1.0,97,153
44,True,True,True,True,1,0.7474365234375,0.7474365234375,1.0,123,149
45,True,True,True,True,1,0.6455078125,0.6455078125,1.0,23,160
46,True,True,True,True,1,0.37158203125,0.37158203125,1.0,118,155
47,True,True,True,True,1,0.6953125,0.6953125,1.0,118,151
48,True,True,True,True,1,0.45098876953125,0.45098876953125,1.0,136,151
49,True,True,True,True,1,0.6202392578125,0.6202392578125,1.0,121,156
50,True,True,True,True,1,0.89501953125,0.89501953125,1.0,141,147
51,True,False,False,False,32,0.224609375,0.329833984375,0.6809770540340488,16,152
52,True,True,True,True,1,0.5009870529174805,0.5009870529174805,1.0,87,153
53,True,False,False,False,45,0.4422607421875,0.49907732009887695,0.8861567624429006,12,154
54,True,False,False,False,103,0.3515625,0.482147216796875,0.7291600734223685,10,147
55,True,True,True,True,1,1.0,1.0,1.0,102,152
56,True,False,False,False,67,0.348876953125,1.0,0.348876953125,6,154
57,True,True,True,True,1,0.49365997314453125,0.49365997314453125,1.0,89,154
58,True,True,True,True,1,0.6390380859375,0.6390380859375,1.0,161,164
59,True,True,True,True,1,0.503936767578125,0.503936767578125,1.0,113,155
60,True,True,True,True,1,0.849853515625,0.849853515625,1.0,136,146
61,True,False,True,True,3,0.4637451171875,1.0,0.4637451171875,42,157
62,True,False,False,False,82,0.3126220703125,1.0,0.3126220703125,13,149
63,True,True,True,True,1,0.3515625,0.3515625,1.0,144,155
64,True,True,True,True,1,0.3056640625,0.3056640625,1.0,135,155
65,True,True,True,True,1,0.44427490234375,0.44427490234375,1.0,122,152
66,True,False,True,True,4,0.4797210693359375,0.56298828125,0.852097788378144,90,139
67,True,True,True,True,1,1.0,1.0,1.0,114,157
68,True,True,True,True,1,1.0,1.0,1.0,108,154
69,True,False,False,False,14,0.3173828125,0.7412109375,0.4281949934123847,13,158
70,True,False,False,False,56,0.3671875,1.0,0.3671875,2,154
71,True,False,False,False,17,0.533294677734375,0.592529296875,0.9000309023485785,117,162
72,True,False,False,False,113,0.20947265625,0.481719970703125,0.4348432055749129,5,144
73,True,False,False,False,65,0.2523193359375,0.39862060546875,0.6329811667432246,9,157
74,True,True,True,True,1,0.843017578125,0.843017578125,1.0,152,163
75,True,True,True,True,1,0.48987579345703125,0.48987579345703125,1.0,83,156
76,True,True,True,True,1,0.5291748046875,0.5291748046875,1.0,104,157
77,True,True,True,True,1,0.6160888671875,0.6160888671875,1.0,138,161
78,True,False,False,False,64,0.3619384765625,0.6507568359375,0.5561808291127368,47,157
79,True,False,False,False,21,0.43524169921875,1.0,0.43524169921875,57,151
80,True,False,True,True,3,0.473175048828125,0.48784637451171875,0.9699263406471389,143,163
81,True,False,False,False,73,0.37603759765625,0.58648681640625,0.6411697367051722,25,150
82,True,False,False,False,58,0.30859375,0.50909423828125,0.6061623306557967,9,157
83,True,False,False,False,85,0.3486328125,0.6182861328125,0.5638696939782823,6,154
84,True,False,False,False,33,0.28271484375,0.3917236328125,0.7217201620442505,50,155
85,True,True,True,True,1,0.602783203125,0.602783203125,1.0,127,149
86,True,False,False,False,105,0.27392578125,0.5986328125,0.45758564437194127,2,156
87,True,True,True,True,1,0.41485595703125,0.41485595703125,1.0,127,153
88,True,False,True,True,2,0.5908203125,0.598876953125,0.9865470852017937,72,153
89,True,False,False,False,56,0.4110107421875,0.59075927734375,0.6957330302717223,21,156
90,True,False,False,False,34,0.312255859375,0.452911376953125,0.6894414123037531,4,159
91,True,True,True,True,1,0.38360595703125,0.38360595703125,1.0,37,162
92,True,False,True,True,4,0.3746337890625,0.4149169921875,0.9029126213592233,82,161
93,True,True,True,True,1,0.48445892333984375,0.48445892333984375,1.0,103,151
94,True,False,False,False,31,0.276123046875,0.4066162109375,0.6790753527469229,9,160
95,True,True,True,True,1,0.4359130859375,0.4359130859375,1.0,59,163
96,True,False,True,True,2,0.3707275390625,0.42694091796875,0.8683345246604718,73,157
97,True,True,True,True,1,0.57891845703125,0.57891845703125,1.0,155,158
98,True,True,True,True,1,0.2802734375,0.2802734375,1.0,105,155
99,True,True,True,True,1,0.22216796875,0.22216796875,1.0,149,165
