Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,-1,-1,1.0,3,3
1,True,False,True,True,2,-1,-1,1.0,2,3
2,True,False,True,True,2,-1,-1,1.0,1,3
3,True,False,True,True,3,-1,-1,1.0,1,3
4,True,True,True,True,1,-1,-1,1.0,2,3
5,True,False,True,True,3,-1,-1,1.0,3,5
6,True,True,True,True,1,-1,-1,1.0,3,3
7,True,True,True,True,1,-1,-1,1.0,3,3
8,True,True,True,True,1,-1,-1,1.0,4,5
9,True,True,True,True,1,-1,-1,1.0,4,5
10,False,False,False,False,,,-1,0.0,0,3
11,True,False,True,True,2,-1,-1,1.0,3,7
12,True,True,True,True,1,-1,-1,1.0,5,8
13,True,True,True,True,1,-1,-1,1.0,8,9
14,True,True,True,True,1,-1,-1,1.0,8,11
15,False,False,False,False,,,0.4339141845703125,0.0,0,34
16,False,False,False,False,,,0.381866455078125,0.0,0,46
17,True,False,True,True,3,-1,-1,1.0,3,5
18,True,True,True,True,1,0.5523834228515625,0.5523834228515625,1.0,76,100
19,True,True,True,True,1,0.646209716796875,0.646209716796875,1.0,46,88
20,True,False,False,True,10,0.5523223876953125,0.79718017578125,0.6928451114003522,18,70
21,True,False,False,False,48,-1,0.41732120513916016,-2.396235771595981,1,48
22,True,True,True,True,1,0.397857666015625,0.397857666015625,1.0,65,90
23,True,True,True,True,1,0.500091552734375,0.500091552734375,1.0,13,77
24,True,True,True,True,1,0.40704345703125,0.40704345703125,1.0,81,93
25,True,False,False,False,54,-1,0.5534515380859375,-1.806842932370213,1,56
26,True,True,True,True,1,0.6454620361328125,0.6454620361328125,1.0,72,81
27,True,True,True,True,1,0.4244537353515625,0.4244537353515625,1.0,44,73
28,True,True,True,True,1,0.46820068359375,0.46820068359375,1.0,97,99
29,True,False,False,True,10,0.4143524169921875,0.5219135284423828,0.7939100912536134,19,77
30,True,True,True,True,1,0.4399547576904297,0.4399547576904297,1.0,50,75
31,True,True,True,True,1,0.4956474304199219,0.4956474304199219,1.0,78,80
32,True,True,True,True,1,0.7784881591796875,0.7784881591796875,1.0,27,86
33,True,True,True,True,1,0.7562370300292969,0.7562370300292969,1.0,60,78
34,True,False,True,True,4,0.449493408203125,0.46258544921875,0.9716981132075472,27,80
35,True,True,True,True,1,0.713348388671875,0.713348388671875,1.0,79,90
36,True,True,True,True,1,0.78265380859375,0.78265380859375,1.0,60,97
37,True,False,False,False,25,0.4138641357421875,0.7425003051757812,0.5573925463158003,7,91
38,True,False,False,True,6,0.4122467041015625,0.4578399658203125,0.9004165972337944,8,104
39,True,False,False,False,14,0.40890681743621826,0.7581939697265625,0.5393168948358792,30,69
40,True,False,False,False,27,0.422637939453125,0.7816162109375,0.5407230985475558,14,49
41,True,False,False,False,20,0.3522796630859375,0.7187232971191406,0.4901464367413446,28,65
