Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,False,True,True,2,-1,-1,1.0,1,3
1,True,True,True,True,1,-1,-1,1.0,1,3
2,False,False,False,False,,,-1,0.0,0,3
3,True,False,True,True,3,-1,-1,1.0,1,3
4,True,True,True,True,1,-1,-1,1.0,3,3
5,True,True,True,True,1,-1,-1,1.0,3,3
6,True,True,True,True,1,-1,-1,1.0,7,7
7,True,False,True,True,4,-1,-1,1.0,1,5
8,True,True,True,True,1,-1,-1,1.0,5,6
9,True,True,True,True,1,-1,-1,1.0,6,14
10,True,True,True,True,1,-1,-1,1.0,1,5
11,True,True,True,True,1,0.281005859375,0.281005859375,1.0,26,32
12,True,False,False,False,19,0.101318359375,0.18359375,0.5518617021276596,2,74
13,True,False,False,False,48,-1,0.46612548828125,-2.1453450307712454,3,54
14,True,False,False,False,67,-1,0.635498046875,-1.5735689588935844,2,69
15,True,False,True,True,5,0.6102294921875,0.852783203125,0.7155740051531635,7,68
16,True,True,True,True,1,1.0,1.0,1.0,83,96
17,False,False,False,False,,,0.2894287109375,0.0,0,61
18,True,False,True,True,2,0.47259521484375,0.5092849731445312,0.927958294009258,7,75
19,True,True,True,True,1,0.703125,0.703125,1.0,55,72
20,True,True,True,True,1,0.7406005859375,0.7406005859375,1.0,68,77
21,True,True,True,True,1,0.48810577392578125,0.48810577392578125,1.0,44,71
22,True,False,False,False,65,0.13916015625,1.0,0.13916015625,5,81
23,True,False,False,False,76,-1,0.29931640625,-3.34094616639478,1,77
24,True,True,True,True,1,0.5360107421875,0.5360107421875,1.0,59,72
25,True,False,False,True,8,0.3143310546875,0.390380859375,0.8051907442151345,27,76
26,True,False,False,True,10,0.3873291015625,0.4992527961730957,0.7758175908707566,19,84
27,True,False,False,False,46,0.19140625,1.0,0.19140625,24,87
28,True,False,True,True,2,0.58984375,0.6268310546875,0.9409931840311587,1,71
29,True,False,True,True,2,0.46881103515625,0.48957061767578125,0.9575963471458181,30,86
30,True,True,True,True,1,0.303955078125,0.303955078125,1.0,24,60
31,True,False,False,False,40,0.39276123046875,1.0,0.39276123046875,24,82
32,False,False,False,False,,,1.0,0.0,0,76
33,True,False,False,False,55,,0.871337890625,0.0,3,72
34,True,True,True,True,1,1.0,1.0,1.0,95,100
35,True,False,True,True,4,0.57421875,0.63916015625,0.8983957219251337,33,70
36,True,True,True,True,1,0.298095703125,0.298095703125,1.0,84,92
37,True,False,False,False,66,-1,0.415283203125,-2.407995296884186,5,73
38,True,False,False,True,7,0.61181640625,0.829833984375,0.7372756693145043,53,89
39,True,True,True,True,1,1.0,1.0,1.0,61,70
40,True,True,True,True,1,0.4980907440185547,0.4980907440185547,1.0,32,66
41,True,False,False,False,38,0.3284912109375,0.4698333740234375,0.699165340521581,14,79
42,True,False,False,True,6,0.38055419921875,0.7305908203125,0.5208855472013367,14,86
43,True,False,True,True,2,1.0,1.0,1.0,47,70
44,True,True,True,True,1,1.0,1.0,1.0,65,83
