Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,False,True,True,2,0.7231292724609375,0.723541259765625,0.9994305959762115,39,156
1,True,True,True,True,1,0.4300994873046875,0.4300994873046875,1.0,41,153
2,True,True,True,True,1,0.5429553985595703,0.5429553985595703,1.0,139,150
3,True,False,False,False,92,0.4381103515625,0.466522216796875,0.9390985804932296,11,156
4,True,True,True,True,1,0.4876708984375,0.4876708984375,1.0,123,151
5,True,False,False,False,92,0.390625,0.55279541015625,0.706635751352545,26,155
6,True,False,False,True,10,0.37689208984375,0.39373779296875,0.9572159355138739,4,157
7,True,True,True,True,1,0.601348876953125,0.601348876953125,1.0,108,158
8,True,False,False,False,97,0.39640045166015625,0.6720733642578125,0.5898172323759792,21,148
9,True,False,False,False,22,0.453369140625,0.546356201171875,0.829805060604368,10,150
10,True,True,True,True,1,0.581756591796875,0.581756591796875,1.0,137,151
11,True,True,True,True,1,0.6426620483398438,0.6426620483398438,1.0,140,157
12,True,True,True,True,1,0.777679443359375,0.777679443359375,1.0,120,152
13,True,False,False,False,81,0.47662353515625,0.56951904296875,0.8368877933769157,18,147
14,True,True,True,True,1,0.7704925537109375,0.7704925537109375,1.0,137,149
15,True,False,False,False,73,0.5378189086914062,0.714752197265625,0.7524550616967679,45,156
16,True,False,False,False,116,0.466705322265625,0.668670654296875,0.6979599288028844,15,152
17,True,False,False,False,95,0.3846893310546875,0.4650230407714844,0.8272478938172153,9,147
18,True,True,True,True,1,0.59930419921875,0.59930419921875,1.0,109,154
19,True,True,True,True,1,0.49932861328125,0.49932861328125,1.0,74,159
20,True,False,False,False,63,0.3756103515625,0.7534313201904297,0.4985329671025151,13,145
21,True,True,True,True,1,0.4866180419921875,0.4866180419921875,1.0,152,155
22,True,True,True,True,1,0.47035980224609375,0.47035980224609375,1.0,140,157
23,True,True,True,True,1,0.60888671875,0.60888671875,1.0,136,148
24,True,False,False,False,33,0.4876670837402344,0.7606277465820312,0.641137647070624,51,148
25,True,False,False,False,105,0.41571044921875,0.788818359375,0.5270040235221294,10,148
26,True,False,False,False,80,0.4297332763671875,0.5272598266601562,0.8150313273235035,26,151
27,True,True,True,True,1,0.5211944580078125,0.5211944580078125,1.0,141,156
28,True,False,False,False,83,0.4416694641113281,0.6063995361328125,0.7283472987594676,6,152
29,True,False,False,False,140,-1,0.768585205078125,-1.3010919197935278,11,154
30,True,True,True,True,1,0.6909942626953125,0.6909942626953125,1.0,126,146
31,True,True,True,True,1,0.7679595947265625,0.7679595947265625,1.0,150,152
32,True,False,True,True,2,0.542266845703125,0.5583572387695312,0.9711826193892191,53,155
33,True,True,True,True,1,0.4860363006591797,0.4860363006591797,1.0,142,147
34,True,False,False,False,126,0.4573516845703125,0.6751556396484375,0.677401857753068,7,160
35,True,False,False,False,31,0.45965576171875,0.7891845703125,0.5824439288476412,5,152
36,True,False,True,True,2,0.465972900390625,0.466400146484375,0.9990839494863574,62,151
37,True,False,False,True,6,0.43426513671875,0.4568023681640625,0.9506630590907572,113,151
38,True,True,True,True,1,0.4702301025390625,0.4702301025390625,1.0,146,152
39,True,False,True,True,4,0.547393798828125,0.5770645141601562,0.9485833652841863,54,158
40,True,True,True,True,1,0.5947723388671875,0.5947723388671875,1.0,72,147
41,True,True,True,True,1,0.79925537109375,0.79925537109375,1.0,114,144
42,True,False,False,False,109,0.3278007507324219,0.4936676025390625,0.6640110654344265,1,150
43,True,False,False,False,61,0.3896484375,0.421051025390625,0.9254185692541856,6,156
44,True,False,False,False,27,0.5309085845947266,0.5964813232421875,0.8900674068199841,28,144
45,True,False,False,False,65,0.48211669921875,0.7673187255859375,0.6283134806212342,5,154
