Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,1.0,1.0,1.0,104,108
1,True,False,False,False,50,0.14892578125,1.0,0.14892578125,28,104
2,True,False,False,False,68,0.177734375,0.845947265625,0.2101010101010101,16,115
3,True,False,False,False,17,0.25537109375,0.371337890625,0.6877054569362262,17,118
4,True,True,True,True,1,0.5049972534179688,0.5049972534179688,1.0,91,122
5,True,True,True,True,1,0.42706298828125,0.42706298828125,1.0,110,118
6,True,False,False,False,25,0.41912841796875,0.5906982421875,0.7095474271543707,23,108
7,True,False,False,False,19,0.24658203125,0.445068359375,0.5540318156884256,23,117
8,True,True,True,True,1,0.5193023681640625,0.5193023681640625,1.0,33,119
9,True,False,False,False,39,0.419189453125,0.5188140869140625,0.807976235993059,19,112
10,True,False,False,False,75,0.172119140625,0.346435546875,0.49682875264270615,4,114
11,True,False,True,True,3,0.554290771484375,0.57806396484375,0.9588744588744589,26,124
12,True,True,True,True,1,1.0,1.0,1.0,119,119
13,True,True,True,True,1,0.580322265625,0.580322265625,1.0,115,124
14,True,True,True,True,1,0.5830078125,0.5830078125,1.0,112,117
15,True,True,True,True,1,0.7122802734375,0.7122802734375,1.0,92,116
16,True,True,True,True,1,0.548980712890625,0.548980712890625,1.0,85,127
17,True,True,True,True,1,0.40826416015625,0.40826416015625,1.0,118,121
18,True,True,True,True,1,0.3328857421875,0.3328857421875,1.0,124,128
19,True,True,True,True,1,0.467193603515625,0.467193603515625,1.0,69,127
