Tree Index,Found Correct,Top-1 Correct,Top-5 Correct,Top-10 Correct,Rank of Best Correct,Score of Best Correct,Score of Best Overall,Score Ratio,Num Correct Outputs,Total Outputs
0,True,True,True,True,1,0.354339599609375,0.354339599609375,1.0,123,124
1,True,False,False,False,37,0.53656005859375,0.5794677734375,0.9259532336212345,3,112
2,True,True,True,True,1,0.5422515869140625,0.5422515869140625,1.0,94,112
3,False,False,False,False,,,0.412689208984375,0.0,0,117
4,True,True,True,True,1,0.571929931640625,0.571929931640625,1.0,108,115
5,True,True,True,True,1,0.535736083984375,0.535736083984375,1.0,20,110
6,True,True,True,True,1,0.7591552734375,0.7591552734375,1.0,120,121
7,True,False,False,False,58,0.35480499267578125,0.408172607421875,0.8692523364485981,9,124
8,True,False,True,True,4,0.452728271484375,0.461029052734375,0.9819951016085259,32,122
9,True,True,True,True,1,0.44830322265625,0.44830322265625,1.0,66,120
10,True,False,False,False,30,0.41739654541015625,0.4976043701171875,0.8388120572812855,10,110
11,True,False,True,True,2,0.5368194580078125,0.544708251953125,0.9855173959325453,70,126
12,True,True,True,True,1,0.5079803466796875,0.5079803466796875,1.0,119,121
13,True,False,True,True,2,0.5485076904296875,0.5560302734375,0.9864709110867179,26,124
14,True,False,False,False,31,0.39031982421875,0.465423583984375,0.8386335322273949,37,120
15,True,False,True,True,2,0.4886322021484375,0.489715576171875,0.9977877484888141,3,128
16,True,True,True,True,1,0.5286178588867188,0.5286178588867188,1.0,101,125
17,True,True,True,True,1,0.39727783203125,0.39727783203125,1.0,102,115
18,True,False,True,True,4,0.449462890625,0.46685791015625,0.9627402274807164,3,127
19,True,True,True,True,1,0.5037841796875,0.5037841796875,1.0,89,124
